manager,NOTES,Sector,BCD_Project_ID__c,Name,Project_Status__c,Account_Name__c,Owner01CompanyName,Tenant01CompanyName,Project_State__c,PostalCode,ownerid (by ZIP),Owner Email,Construction_Amount_M__c,Construction_End_Date__c,Project_Stage__c,Construction_Type__c,Clinical_Specialty__c,Construction_Start_Date__c,Project_Details__c,Facility_Type__c
emcnamara@cmecorp.com,,Public,3244591,UMaine Multipurpose Center,Qualificiation,,University of Maine,,ME,4473,005Qq000001lalpIAA,mfaustino@cmecorp.com,$100 ,10/1/2026,Construction,New,Rehabilitation/Physical Therapy,12/1/2025,"Plans call for the construction of a new multipurpose center with a 3,000-seat arena for men's and women's basketball for the University of Maine. The facility will have new men and women's locker rooms, team offices, lounges, film rooms, administrative offices, a ""Bear Necessities Fan Shop"", and a sports medicine center.","Specialty Clinic, Medical Office"
emcnamara@cmecorp.com,,Private,2651214,Saint Luke's Mixed-Use Development,Qualificiation,,,,CT,6511,0058W00000FHlKpQAL,jbornstein@cmecorp.com,$32.60 ,10/1/2027,Early Construction,New,Primary Care,6/1/2026,"Plans call for the construction of a six-story mixed-use development featuring office space, doctor's office, music school, barber shop, and 42 residential units. Plans call for 3,843 square feet of retail space.",Medical Office
emcnamara@cmecorp.com,,Private,3925887,Bennett Medical Center Campus Redevelopment,Qualificiation,0011I00000IkMknQAF,Stamford Health,,CT,6902,0058W00000FHlKpQAL,jbornstein@cmecorp.com,$275 ,4/1/2029,Starts in 4-12 months,"New, Renovation","Oncology, Rehabilitation/Physical Therapy, Psychiatric Care/Behavioral Health, Other",5/1/2027,"Plans call for the redevelopment of the existing campus that will include the construction of a new 73,000-square-foot Carl & Dorothy Bennett Cancer Center on the southwestern corner and the conversion of the existing Bennett Cancer Center into a behavioral health facility spanning two floors which will add treatment capacity and add a Partial Hospitalization program, as well as outpatient interventional psychiatric services. Work will also include the relocation of the Van Munching inpatient rehabilitation units to the fourth floor of the Stamford hospital to include 20 private rooms, rehabilitation equipment, and dedicated space for brain injury care. Additional parking spaces are also planned.","Long-term Care/Rehabilitation Hospital, Cancer Center"
emcnamara@cmecorp.com,,Public,3405993,William Paterson University Recreation Center Expansion and Renovation,Qualificiation,,William Paterson University,,NJ,7470,0051I000001vmW8QAI,rbonitatibus@cmecorp.com,$40 ,6/1/2027,Construction,"Expansion/Expansion, Renovation",Rehabilitation/Physical Therapy,12/1/2025,"Plans call for the expansion of William Paterson University's recreation center. The project will add a training room, sports therapy services, and a rehabilitation instruction lab to existing space, while a two-story addition will include a swimming pool, a locker room, and instructional space.","Specialty Clinic, Medical Office"
emcnamara@cmecorp.com,,Private,3683474,NYU Langone Hospital PICU Expansion,Qualificiation,0011I00000IkMDeQAN,NYU Langone Health System,,NY,10016,0051I000001vmWJQAY,tlyons@cmecorp.com,$28.30 ,4/1/2027,Construction,Renovation,"Pediatrics, Critical Care",5/1/2026,"Plans call for the renovation of 11,800-square-foot space on the seventh floor to accommodate the expansion of the Pediatric Intensive Care Unit (PICU) service by adding 12 new beds by converting 12 existing physical medicine and rehabilitation beds. The unit will contain 12 inpatient rooms, including one ECMO (Extracorporeal membrane oxygenation) and one AII/PE patient room.",Acute Care Hospital
jvindiola@cmecorp.com,,Private,3281880,Bennett County Hospital Expansion,Qualificiation,,Bennett County Hospital and Nursing Home,,SD,57551,0051I000001wBuyQAE,rhammond@cmecorp.com,$60 ,7/1/2027,Construction,Expansion/Expansion,"Emergency Care, Primary Care",2/1/2026,"Plans call for the demolition and rebuilding of the south wing of the hospital and expansion of the west wing into the current parking lot to add emergency room triage, imaging, 15 patient rooms, lab, physical and occupational therapy, home health, and support services. Work also includes new parking, utility connections, and modifications to support emergency access.",Acute Care Hospital
jvindiola@cmecorp.com,,Private,3769520,Children's Mercy Hospital Kansas City Expansion and Renovations,Qualificiation,0011I00000IkLCAQA3,Children's Mercy Hospitals & Clinics,,KS,66211,0058W000007tuTzQAI,bgoldberg@cmecorp.com,$152 ,7/1/2029,Construction,"New, Renovation","Primary Care, Psychiatric Care/Behavioral Health, Surgical, Service Areas, GI/Endoscopy",1/1/2025,"Plans call for the renovation and expansion of the existing hospital that will include the expansion of the surgical services, construction of a new medical office building, and renovations within the hospital to consolidate outpatient services. This will include new services such as Inpatient rehabilitation programs, intensive outpatient programs, a neuroscience center for excellence, and an expanded GI motility program.",Acute Care Hospital
jvindiola@cmecorp.com,,Private,3434386,Stormont Vail Health Facility,Qualificiation,,,,KS,66801,0058W000007tuTzQAI,bgoldberg@cmecorp.com,$30 ,1/1/2028,Construction,New,Primary Care,5/1/2026,Plans call for the construction of a new medical facility.,Medical Office
jvindiola@cmecorp.com,,Private,3740640,Sam Sandos Westside Family Health Center Replacement and Expansion,Qualificiation,0011I00000IkLLZQA3,Denver Health,,CO,80204,0058W000007tuTzQAI,bgoldberg@cmecorp.com,$30 ,7/1/2027,Early Construction,New,Primary Care,7/1/2026,"Plans call for the demolition of the existing clinic and the construction of a three-story, 85,585-square-foot replacement clinic. There will also be a two-story parking garage with 200 stalls for Phase 2.",Medical Office
jvindiola@cmecorp.com,,Private,3719675,Saint Alphonsus Medical Center Nampa Expansion,Qualificiation,0011I00000IkMsJQAV,Trinity Health,,ID,83687,005Qq0000021XdWIAU,mhutchins@cmecorp.com,$250 ,10/1/2028,Starts in 1-3 months,Expansion/Expansion,"Primary Care, Critical Care, Cardiology, Cath Labs",9/1/2026,"Plans call for the expansion of the existing hospital by adding a new seven-story tower to the western side of the hospital that will house ten new NICU beds, additional critical care beds, and more space for cardiology operations, including a cardiology suite with two cardiac catheterization labs. Work will also include the construction of a two-story vertical addition to the five-story main building to accommodate additional patient beds.",Acute Care Hospital
jvindiola@cmecorp.com,,Private,3924457,Santa Clara Valley Medical Center Building M Operation Rooms (OR) Renovation,Qualificiation,,County of Santa Clara (CA),,CA,95128,0058W00000B8JIzQAN,hpfeiffer@cmecorp.com,$35 ,4/1/2027,Groundbreaking,Renovation,"Critical Care, Cardiology, Surgical, Cath Labs",8/1/2026,"Plans call for the renovation of an existing space in Building M to include the addition of a class 3 hybrid operating room, a new structural heart room, and a new catheterization lab, along with a full reorganization of the post anesthesia care unit (pacu).",Acute Care Hospital
jvindiola@cmecorp.com,,Private,3241986,5th Ave and Highway 108 Medical Clinic,Qualificiation,,Chicken Ranch Rancheria Me-Wuk Indians of California,,CA,95327,0051I000007rdxMQAQ,jhill@cmecorp.com,$32 ,7/1/2027,Groundbreaking,New,"Primary Care, Other",8/1/2026,"Plans call for the construction of a new 19,280-square-foot clinic for the Chicken Ranch Tribe.",Medical Office
jvindiola@cmecorp.com,,Private,3367408,UC Davis Medical Center's Central Utility Plant Expansion,Qualificiation,0011I00000IkMw1QAF,University of California Health,,CA,95817,0051I000001vmVxQAI,mpoyma@cmecorp.com,$193 ,1/1/2028,Construction,"Expansion/Expansion, Renovation",Service Areas,1/1/2026,"Plans call for the construction of a new, two-story 40,000-square-foot utility plant for UC Davis Medical Center on a 142-acre site. The expansion project will renovate 9,000-square-feet of the existing structure to bring it in line with upcoming seismic requirements. It will add equipment to expand the plant’s capacity, new emergency power generators, and a dedicated connection to bring in power from the Sacramento Municipal Utility District.",Medical Office
jvindiola@cmecorp.com,,Private,3928758,MultiCare Tacoma General Hospital Bed Expansion,Qualificiation,0011I00000IkM7cQAF,MultiCare Health System,,WA,98405,0051I000004Kg4nQAC,adesilva@cmecorp.com,$54 ,10/1/2027,Starts in 1-3 months,Renovation,"Primary Care, Dialysis, Obstetrics/Women's Health, Surgical, Service Areas",10/1/2026,"Plans call for the renovation of an existing space to the hospital to add 65 new beds, four operating rooms, work on the dialysis connection boxes in all rooms on 6th and 7th floors, new observation bays, new treatment bays for dialysis, the addition of 12 new labor and delivery beds in the women and newborn unit.",Acute Care Hospital
mborja@cmecorp.com,,Public,3904653,Georgia Regional Hospital-Atlanta New Forensic Psychiatric Hospital,Qualificiation,,State of Georgia,,GA,30034,0051I000001xRRUQA2,tcaldwell@cmecorp.com,$150 ,7/1/2029,Early Construction,New,Psychiatric Care/Behavioral Health,7/1/2026,Plans call for the construction of a new 300-bed psychiatric forensic hospital.,Long-term Care/Rehabilitation Hospital
mborja@cmecorp.com,,Private,3179535,20th Street Mixed-Use Medical Office,Qualificiation,,,,FL,33127,,,$54 ,4/1/2027,Construction,New,Primary Care,1/1/2026,"Plans call for the redevelopment of a current industrial and commercial site into a new 400,000-square-foot medical office complex with a hotel, retail space, and a standalone garage.",Medical Office
mborja@cmecorp.com,,Private,3683776,The HueHub,Qualificiation,,"The Grove Title & Trust, P.L.L.C.","The Grove Title & Trust, P.L.L.C.",FL,33147,,,$880 ,10/1/2029,Groundbreaking,New,Primary Care,8/1/2026,"Plans call for the construction of 4,032-units in five mixed-use buildings between 26 and 37 stories tall. There will be 20,083 square feet of retail and 11,470 square feet for medical offices. Work includes one-level amenity and two nine-story parking garages totaling to 5,046 spaces. Forty percent of the units will be designated for workforce housing. The project involves the demolition of 65 existing structures.",Medical Office
mborja@cmecorp.com,,Private,3843487,Holy Cross Free Standing Emergency Department and Outpatient Center,Qualificiation,0011I00000IkMsIQAV,,Trinity Health,FL,33304,,,$57.30 ,4/1/2027,Groundbreaking,New,"Emergency Care, Other",8/1/2026,"Plans call for the demolition of the existing building and the construction of a two-story 41,792-square-foot medical building that will house an 11,721-square-foot outpatient emergency department and a 30,071-square-foot medical clinic.",Medical Office
mborja@cmecorp.com,,Private,3734978,Cleveland Clinic West Palm Beach New Hospital,Qualificiation,0011I00000IkLERQA3,The Cleveland Clinic,,FL,33401,,,$500 ,10/1/2029,Starts in 4-12 months,New,"Emergency Care, Primary Care, Imaging/Radiology, Clinical Labs, Surgical",1/1/2027,"Plans call for demolition of two office buildings and construction of a new hospital with 200 inpatient beds, a medical office building, an emergency department, and an ambulatory surgery center.","Acute Care Hospital, Ambulatory Surgery Center, Medical Office"
mborja@cmecorp.com,,Private,3916621,Medical Magnet High School,Qualificiation,,Pasco County Schools,,FL,33543,0051I000001vmVfQAI,dbrickle@cmecorp.com,$80 ,4/1/2028,Starts in 4-12 months,New,"Service Areas, Other",3/1/2027,"Plans call for the construction of a Medical Magnet High School campus including parking, utilities, and sports fields totaling 73-acres.",Medical Office
sscalf@cmecorp.com,,Private,3784633,Merck Wilmington Biotech,Qualificiation,,MRA Group,"Merck and Co., Inc.",DE,19805,,,"$1,000 ",4/1/2030,Construction,New,"Medical Research, Clinical Labs",6/1/2025,"Plans call for the construction of a 470,000-square-foot biologics laboratory, manufacturing, and warehouse building for Merck to support the research and manufacturing of next-generation biologics and therapies such as KEYTRUDA® (pembrolizumab). A further expansion is also planned.",Medical Office
sscalf@cmecorp.com,,Private,3902109,Bracebridge Residential Conversion,Qualificiation,,The Buccini/Pollin Group,Incyte Corporation,DE,19884,,,$100 ,10/1/2027,Groundbreaking,"Renovation, Backfill","Medical Research, Clinical Labs",8/1/2026,"Plans call for the conversion of an existing office 537,000-square-foot complex into 202 multifamily units. Work includes converting the upper half of Bracebridge I into 202 apartments while adding ground-floor retail space and leasing back 80,000-square-feet of space to biopharmaceutical firm Incyte.",Medical Office
sscalf@cmecorp.com,,Private,3230094,Erickson Living at Bethesda-West Village,Qualificiation,0011I00001CwMCAQA3,Erickson Living,,MD,20817,,,$100 ,1/1/2028,Early Construction,New,Geriatrics/Senior Care,6/1/2026,"Plans call for a four-phase senior living development that could have up to 1,300 independent living units, 210 assisted living units and 50 nursing units. There will be up to 5,300 square feet of retail space and 100,000 to 300,000 square feet of indoor amenity space. The eight residential buildings will range from six stories to 13 stories. The residential units will be evenly split between East Village and West Village. Phase III and Phase IV will consist of the West Village, which will house the assisted living memory care, and nursing portion of the development in addition to the independent living units.  Amenities  will also be split evenly between the two villages and will include food services, recreation areas, exercise rooms and “medical support” space.","Senior (Independent, Assisted, Memory Care, Nursing, Continuing Care), Medical Office"
sscalf@cmecorp.com,,Public,3367203,Virginia Hospital Center Rehab & Behavioral Wellness Facility,Qualificiation,0011I00000IkN0wQAF,Arlington County,VHC Health,VA,22204,0058W000007uyoUQAQ,mdowns@cmecorp.com,$130 ,10/1/2027,Starts in 1-3 months,New,"Geriatrics/Senior Care, Rehabilitation/Physical Therapy, Psychiatric Care/Behavioral Health",11/1/2026,"Plans call for the construction of a new three-story, 131,000-square-foot rehabilitation and behavioral wellness facility. Plans include expanded mental health services with a 24-bed adult unit, a 24-bed adolescent unit, a 24-bed recovery and wellness unit and five outpatient programs, including an Adult Intensive Outpatient Program, Adolescent Intensive Outpatient Program, Recovery & Wellness Intensive Outpatient Program, Adult Partial Hospitalization Program, a 14-bed geriatric behavioral health unit, and an Outpatient Behavioral Health Clinic. The inpatient rehabilitation services will add 20 beds and will care for patients with brain and spinal cord injuries, stroke, neurological and other conditions.",Long-term Care/Rehabilitation Hospital
sscalf@cmecorp.com,,Private,3190734,Courthouse Landing,Qualificiation,,,,VA,23832,0058W000007uyoUQAQ,mdowns@cmecorp.com,$365.71 ,7/1/2027,Construction,New,Primary Care,10/1/2023,"Plans call for construction of 265,000 square feet of retail space, a 65,000-square-foot medical office building, 100,000 square feet of additional office space, a new hotel, 300 apartments, and 300 two-over-two-style condos stacked in four-story buildings and three-story townhomes. The apartments amenities will include a 5,000-square-foot clubhouse with a fitness center. There will also be a pool, fire pits, outdoor grills, and bike racks and storage. The townhomes and condos amenities will include a playground, dog park, pond overlook and community gardens. Other outdoor amenities will include a central pavilion area, multipurpose lawn, fitness stations, a wetlands footbridge, birdwatching areas and dog stations.",Medical Office
sscalf@cmecorp.com,,Private,3186619,Livano Cary,Qualificiation,,"DellKing Family, LLC",,NC,27518,0051I000001vmVgQAI,dlawson@cmecorp.com,$81.25 ,7/1/2026,Finalizing Construction,New,Primary Care,7/1/2024,"Plans call for the construction of a mixed-use development on 24 acres. The project consists of 325 apartments, six townhomes, and 50,000 square feet of office space which would include 10,000 square feet for medical space.. Buildings will not exceed four stories.",Medical Office
sscalf@cmecorp.com,,Private,3241785,Twyla Walk,Qualificiation,,,,NC,27519,0051I000001vmVgQAI,dlawson@cmecorp.com,$60 ,7/1/2026,Finalizing Construction,New,Primary Care,5/1/2024,"Plans call for the construction of a mixed use development with 179 two- and three-story townhome and townhome-style condominium units, ranging from 1,576-2,600 square feet, 12,500 square feet of retail, and up to 17,000 square feet of medical or office space.",Medical Office
sscalf@cmecorp.com,,Private,3195506,Wallbrook,Qualificiation,,Crosland Southeast,,NC,27571,0051I000001vmVgQAI,dlawson@cmecorp.com,$230 ,10/1/2029,Construction,New,Primary Care,6/1/2025,"Plans call for the construction of a 70 acre community that will include 265,000-square-feet of commercial space with a 47,000-square-foot Publix and 20,000-square-feet of shops and two outparcels.  Future plans will include 75,000-square-feet of retail, restaurant, personal services, and fitness space, 110,000-square-feet of medical and professional office space, and 140 townhomes.",Medical Office
strahan@cmecorp.com,,Private,3919921,Seguin Exchange Mixed-Use,Qualificiation,,NewQuest Properties,,TX,78155,0058W00000EX63pQAD,jholler@cmecorp.com,$100 ,10/1/2028,Early Construction,New,Other,6/1/2026,"Plans call for the construction of a 750,000-square-foot of retail, restaurant, and entertainment space within a single shopping center. Plans also include the future construction of multifamily, medical and hospitality use on 544 acres.",Medical Office
strahan@cmecorp.com,,Private,3914374,University Health Community Hospital PA - Level 5 Finish-out,Qualificiation,0011I00000IkMvVQAV,University Health System,,TX,78224,0058W00000EX63pQAD,jholler@cmecorp.com,$30 ,5/1/2028,Starts in 4-12 months,Renovation,"Primary Care, Service Areas, Other",5/1/2027,"Plans call for the finishout of an 89,892-square-foot shell space in the existing hospital. The project includes minimal demolition of temporary vestibules, with the addition of new medical-surgical patient rooms and associated staff and support areas. It also includes new MEPF systems.",Acute Care Hospital
strahan@cmecorp.com,,Private,3305076,Saint David's Kyle Acute Care Hospital - Phase I,Qualificiation,,Saint David's Healthcare,,TX,78640,0058W00000EX63pQAD,jholler@cmecorp.com,$300 ,1/1/2029,Starts in 4-12 months,New,"Pediatrics, Emergency Care, Primary Care, Critical Care, Imaging/Radiology, Cardiology, Obstetrics/Women's Health, Rehabilitation/Physical Therapy, Clinical Labs, Surgical, Service Areas",3/1/2027,"Plans call for the construction of a new seven-story, 160,000-square-foot full-service acute care hospital with 34 beds. It will include 24-hour emergency department, inpatient and outpatient surgery, critical care capabilities, robotic services and maternity and newborn services.",Acute Care Hospital
strahan@cmecorp.com,,Private,3434497,Saint David's Kyle Acute Care Hospital,Qualificiation,,Saint David's Healthcare,,TX,78640,0058W00000EX63pQAD,jholler@cmecorp.com,$500 ,1/1/2029,Starts in 4-12 months,New,"Pediatrics, Emergency Care, Critical Care, Imaging/Radiology, Cardiology, Obstetrics/Women's Health, Rehabilitation/Physical Therapy, Clinical Labs, Surgical, Service Areas, Pharmacy",2/1/2027,"Plans call for the development of a seven-story, 693,000-square-foot hospital with 550 beds; four 80,000-square-foot medical offices; and a parking structure. The hospital will be built and expanded in phases.","Acute Care Hospital, Medical Office"
strahan@cmecorp.com,,Private,3677174,XBiotech Building 2 and 3,Qualificiation,,"XBiotech USA, Inc.",,TX,78744,0058W00000EX63pQAD,jholler@cmecorp.com,$30 ,7/1/2027,Groundbreaking,New,"Medical Research, Service Areas",8/1/2026,"Plans call for the construction of two new building totaling 97,400-square-feet for XBiotech including one 4-story building with underground parking and one 2-story building.",Medical Office
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
